fold,setting,setting_label,setting_slug,seed,n_sig_p005,top_gene,top_pval
fold_A,12,12 PCs,pcs12,13,234,DEFB1,0.0025999023455547388
fold_A,12,12 PCs,pcs12,113,226,DEFB1,0.0030187140598249007
fold_A,12,12 PCs,pcs12,1013,267,DEFB1,0.0034375257740951737
fold_A,4,4 PCs,pcs4,13,484,ANKRD22,0.00198602597432862
fold_A,4,4 PCs,pcs4,113,419,DEFB1,0.0019716847741494403
fold_A,4,4 PCs,pcs4,1013,483,DEFB1,0.002181090631284577
fold_A,8,8 PCs,pcs8,13,296,DEFB1,0.0013434672027441419
fold_A,8,8 PCs,pcs8,113,297,ANKRD22,0.0009147165828922166
fold_A,8,8 PCs,pcs8,1013,266,ANKRD22,0.0014503712786104739
fold_A,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,13,316,CLEC4E,0.006719035217162661
fold_A,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,113,322,CLEC4E,0.005618243605050144
fold_A,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,1013,293,CLEC4E,0.006719035217162661
fold_B,12,12 PCs,pcs12,13,211,CD300E,0.00467495239519089
fold_B,12,12 PCs,pcs12,113,221,DEFB1,0.0031298163050113015
fold_B,12,12 PCs,pcs12,1013,203,AQP9,0.0025491865774895928
fold_B,4,4 PCs,pcs4,13,511,AQP9,0.0025491865774895928
fold_B,4,4 PCs,pcs4,113,493,AQP9,0.0008302341189029283
fold_B,4,4 PCs,pcs4,1013,475,AQP9,0.0011740246106202168
fold_B,8,8 PCs,pcs8,13,303,DEFB1,0.0021146735518799975
fold_B,8,8 PCs,pcs8,113,283,DEFB1,0.0017086164506273649
fold_B,8,8 PCs,pcs8,1013,262,DEFB1,0.002114673551882773
fold_B,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,13,349,SERPINA1,0.0037291698900318027
fold_B,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,113,352,SERPINA1,0.004454903396297283
fold_B,bipca_umap2d,BiPCA rank -> UMAP2D,bipca_umap2d,1013,346,AQP9,0.0028929770692068812
