gene,Day0,Day10,Day2,Day4
A2m,1.1165573177430463,1.3351852451084274,,1.0539889918764132
A4galt,1.032853072499143,1.7432783577132716,1.2221668487038753,1.8246347108210406
AF067061,,,1.468057898742828,
AI593442,,1.5545346003293379,,
AI661453,1.111568361793853,1.2778582450868496,1.3277512445261657,2.1091680167688875
AI662270,1.2217762345744765,0.6571703321556155,1.171730068278406,1.3760122322348252
AI849053,,1.3283400180374874,,
AI854703,1.1579733575751607,1.329529675017909,,1.0627994842302504
AU015836,1.2457686820160265,1.6083897918943526,1.1771835330666462,2.179906063267545
AU018091,1.256186393640151,,1.4074642150125776,
AU019990,,,1.822631662141328,
AW047730,,1.5102168949464285,,1.2862479923239498
AW112010,,1.3893574004257476,,1.7484640082305096
AW551984,,1.3745864801559369,,
AY761184,,1.7411468775176133,,
Aard,1.205105851500261,1.3153500986435682,1.2143679210599363,1.0931358535361495
Abca4,0.9999410373612808,0.8562918496086157,,1.3035366767610628
Abcb1a,0.6687709840830243,1.285527183407714,1.1391254716693906,1.6679199130998619
Abcd2,,1.4274045801449264,,1.0684019780042093
Acaa1b,1.264750675633875,0.9834146046845874,1.2501244501049442,1.315980712025273
Acap1,1.0185654072762014,1.6056474648142292,,
Ackr1,,1.2346770220202292,,1.401553526737463
Acot11,1.1157535677671877,1.1170038829618205,1.2027303332260637,1.4827310364129018
Acot3,,0.5802311186869927,,1.4109484465862678
Acp5,0.9555172751737511,0.6552834524429899,1.2205562487042656,1.7754698469825636
Acpp,,1.3704904628830519,,1.3693225206040176
Acsbg1,,1.5534801558723625,,1.266090401938127
Acsm3,,1.3362766824233405,,
Acss3,,1.326668708725667,1.1106779949872663,1.152819237160123
Acta1,1.1834762297713097,1.0338700260666742,1.31706861500453,1.0859545592567639
Actl6b,,1.4848882340558722,,1.4339163010242661
Actrt3,,,,1.370000516418547
Adam11,2.9818986332211646,1.1908259880183458,1.0322566370599113,1.1778541201215886
Adamts12,,1.7013704557945204,,
Adamts2,,1.523197258431788,1.223276988078857,
Adamts9,1.1392522280878785,0.2874889755773425,1.210294715693041,1.4811766689854637
Adamtsl4,1.1514041850963905,1.2684969248593987,1.2531145049447183,1.3193226165845018
Adamtsl5,1.4576455581970518,1.180795468342923,1.3514214423303148,1.8460402990421936
Adarb2,,1.3798936946630733,,1.321914953813507
Adcyap1,,1.350949087295125,,1.3960148749056016
Adgra2,1.3002611042125316,1.2806973200928355,1.1365210754587183,1.8849525114328984
Adgre4,,1.470448074605958,,
Adgrg1,,1.1875329818305203,1.3737556045813022,1.031165251072472
Adgrg6,1.5203996355729152,1.193983100914574,,1.1962222896764618
Adgrv1,1.070342138454703,1.4095274644025806,0.920751697587812,1.115125404138715
Adh1,,1.5795341052974863,,1.8265387964391058
Adh7,,1.2978274896045743,,1.7330830233325731
Adora1,1.9402138909163098,1.1819968202890214,1.876544717445542,1.9373784186360719
Adora2b,1.1296589601894467,1.3294451896572896,0.9814158702387566,1.1949787129198213
Adra1b,,1.3770968584840957,,1.2371386854237585
Adra2c,1.0227118616382027,1.1176090402750873,1.411525578653554,
Afap1l2,1.1373023526836166,1.5125271969516296,0.9847121240747284,
Afp,,1.2117908327574904,1.4670749124880675,2.1654157280572526
Agrp,1.1596527294690504,1.2459005181592002,,1.30155334671255
Agt,,1.498682776467165,,
Agtr1a,1.0771490615611814,0.8680643908495469,1.1830415087836292,1.3089349965940649
Ahnak,1.141247203162414,0.5937392171404581,1.189006683168163,1.6105674209887637
Ahnak2,1.1301420010562797,1.2412324093610365,1.143584955249934,1.5388901907965666
Ahsg,1.3955590100588189,1.8836213044253471,,
Aifm3,0.9269377130562724,1.1898846472433457,1.3532475957195669,1.2605697513545082
Aipl1,1.158640052827379,0.9130859357371821,,1.5286485083049306
Airn,2.0014921777502215,1.2412299513803897,1.1739355860959853,1.37417740192944
Ajap1,,1.4895996795609459,1.5733238282709463,1.1566344531043316
Ajm1,,1.364175414486645,,
Ak7,1.344192029668845,,,
Akap6,,1.1955362553828763,,1.3272666805781128
Akr1c12,2.034829895625358,1.422643378180266,1.3593119311189104,1.955200709622881
Akr1cl,,,1.4183935937496688,
Aldh1a1,,1.3724028497298522,1.0519449419813096,1.6471349517721448
Aldh1a7,,1.1791769179302731,1.5906196097319085,
Aldh3b1,1.1692235377353373,1.3465933053536667,1.4311610458549242,
Aldh3b2,,1.6103414728093328,,
Alk,,1.3408712275095687,,1.278157267980221
Aloxe3,1.2614603773683373,0.931388242134496,1.133947589668166,1.4484459604667745
Alpk3,1.0851878814645861,1.3731536473290342,,1.509426730851948
Alpl,1.0160254156140076,1.2189340859171378,1.0502751700965216,1.345736250681925
Als2cl,1.011918342214727,1.1814879991798846,1.033151220183643,1.3155396045693981
Amer3,,1.4038796201845127,,1.3691123933588678
Amn,1.3477425537941277,1.1924239370548684,1.684490522820084,1.5429600961365426
Amot,1.41991913394491,1.1506093271318347,1.1754671718251848,1.0230948393376649
Amph,0.9978515442186651,1.2051225080105457,1.156616727493909,1.4147511118476015
