gene,depletion_pval,concentration_pval,p_combined,p_size,p_sens,p_final,sample_size,sens_score,is_signal_sim,q_bh
Gene_0,0.00021518299821577763,1e-15,1.9984014443252818e-15,0.011428446322702124,0.06976744086046516,0.008938731218675167,86.0,0.9302325581395349,1,0.1272794536557898
Gene_1,0.008897841658528605,1e-15,1.9984014443252818e-15,0.01574770346128951,0.12903225706451615,0.01625906425048118,62.0,0.8709677419354839,1,0.1272794536557898
Gene_2,0.024454100970548,1e-15,1.9984014443252818e-15,0.016259801418797126,0.16666666566666666,0.02079673014962058,60.00000000000001,0.8333333333333334,1,0.1272794536557898
Gene_3,0.07663202129914383,2.3014124744348445e-11,4.6028292288724515e-11,0.03389500347440355,0.17857142757142863,0.02308700545230946,28.0,0.8214285714285714,1,0.1272794536557898
Gene_4,0.022584060493446984,1e-15,1.9984014443252818e-15,0.027395522883651657,0.14285714185714293,0.01848915129044859,35.0,0.8571428571428571,1,0.1272794536557898
Gene_5,0.039805984292819376,1e-15,1.9984014443252818e-15,0.011975903904541174,0.15853658436585372,0.019611793605733174,82.0,0.8414634146341463,1,0.1272794536557898
Gene_6,0.0023177052357786373,1e-15,1.9984014443252818e-15,0.015999655922869782,0.11475409736065578,0.01455945832298311,61.0,0.8852459016393442,1,0.1272794536557898
Gene_7,0.006241050614993793,1e-15,1.9984014443252818e-15,0.021051845775030165,0.1521739120434783,0.01929424048360695,46.0,0.8478260869565217,1,0.1272794536557898
Gene_8,0.10175495233681552,4.3257527148833504e-11,8.651507288348625e-11,0.027395522883651657,0.14285714185714293,0.01848915137536211,35.0,0.8571428571428571,1,0.1272794536557898
Gene_9,0.043788376461731,1.1521182364639432e-13,2.3042678876095124e-13,0.02597254657969872,0.1621621611621622,0.02073281608296451,37.0,0.8378378378378378,1,0.1272794536557898
Gene_10,0.008378395594764271,1e-15,1.9984014443252818e-15,0.03508405562762995,0.11111111011111119,0.015064146624508834,27.0,0.8888888888888888,1,0.1272794536557898
Gene_11,0.0007407864510173149,1e-15,1.9984014443252818e-15,0.02298748163261033,0.09523809423809526,0.012564809686551826,42.0,0.9047619047619048,1,0.1272794536557898
Gene_12,1.3969364345647038e-05,1e-15,1.9984014443252818e-15,0.0111730674675794,0.056818180818181796,0.007373026071356814,88.0,0.9431818181818182,1,0.1272794536557898
Gene_13,6.0502658795327384e-05,1e-15,1.9984014443252818e-15,0.015999655922869782,0.06557376949180327,0.008662540188665191,61.0,0.9344262295081968,1,0.1272794536557898
Gene_14,0.039701332995990574,1e-15,1.9984014443252818e-15,0.012269783764389475,0.17499999900000007,0.021600605795342398,80.0,0.825,1,0.1272794536557898
Gene_15,0.02722262288035187,1e-15,1.9984014443252818e-15,0.013244838192804309,0.13513513413513512,0.01686771894794381,74.0,0.8648648648648649,1,0.1272794536557898
Gene_16,0.032581056520549476,1e-15,1.9984014443252818e-15,0.011299314123332849,0.1494252863563219,0.018485869649436215,87.0,0.8505747126436781,1,0.1272794536557898
Gene_17,0.00029835823999684193,1e-15,1.9984014443252818e-15,0.025315086291847866,0.0526315779473685,0.007573549430654136,38.0,0.9473684210526315,1,0.1272794536557898
Gene_18,0.32361694754894993,3.869252526944948e-06,7.738446845484415e-06,0.018691039471916415,0.17307692207692316,0.021691943340813258,52.0,0.8269230769230769,1,0.1272794536557898
Gene_19,0.011864280085734726,1e-15,1.9984014443252818e-15,0.021977127515399486,0.11363636263636367,0.014720235487143407,44.0,0.8863636363636364,1,0.1272794536557898
Gene_20,0.13064964173688362,1e-15,1.9984014443252818e-15,0.0116957723226081,0.1904761894761905,0.023428564756405312,84.0,0.8095238095238095,1,0.1272794536557898
Gene_21,0.026371792767654695,1.2381830137169222e-13,2.4763524564264117e-13,0.03076676552365587,0.19354838609677427,0.024728415461162,31.0,0.8064516129032258,1,0.1272794536557898
Gene_22,0.02289848340096509,1e-15,1.9984014443252818e-15,0.012578449454450746,0.12820512720512822,0.016003862007065828,78.0,0.8717948717948718,1,0.1272794536557898
Gene_23,0.0017686262934474175,1e-15,1.9984014443252818e-15,0.023528313347756735,0.17073170631707324,0.021640118250930818,41.0,0.8292682926829268,1,0.1272794536557898
Gene_24,0.003850606928792888,1e-15,1.9984014443252818e-15,0.02020132614629566,0.16666666566666666,0.02098986486129173,48.0,0.8333333333333334,1,0.1272794536557898
Gene_25,0.0010375908239158899,1e-15,1.9984014443252818e-15,0.017390862172057986,0.10714285614285712,0.013715506005884337,56.0,0.8928571428571429,1,0.1272794536557898
Gene_26,0.008837351053407319,1e-15,1.9984014443252818e-15,0.03773128563674277,0.07999999899999999,0.011468453144959811,25.0,0.92,1,0.1272794536557898
Gene_27,0.14393120764790637,1e-15,1.9984014443252818e-15,0.013605230870246343,0.19444444344444445,0.023997721987580545,72.0,0.8055555555555556,1,0.1272794536557898
Gene_28,0.09843188891192538,1e-15,1.9984014443252818e-15,0.023528313347756735,0.19512195021951217,0.02456350435141652,41.0,0.8048780487804879,1,0.1272794536557898
Gene_29,0.0006993596681649225,1e-15,1.9984014443252818e-15,0.02597254657969872,0.10810810710810814,0.014254753124874786,37.0,0.8918918918918919,1,0.1272794536557898
Gene_30,0.02420357163248739,1.4419216368313647e-12,2.8838598176150754e-12,0.03076676552365587,0.09677419254838715,0.01313337681148996,31.0,0.9032258064516129,1,0.1272794536557898
Gene_31,0.019739493004728617,1e-15,1.9984014443252818e-15,0.024690087971667385,0.15384615284615388,0.019673251889836596,39.0,0.8461538461538461,1,0.1272794536557898
Gene_32,0.0050212960688170915,1e-15,1.9984014443252818e-15,0.01652854617838251,0.11864406679661021,0.015051949240893259,59.0,0.8813559322033898,1,0.1272794536557898
Gene_33,0.002264768451146061,1e-15,1.9984014443252818e-15,0.021504538555042196,0.11111111011111119,0.014394223782179694,45.0,0.8888888888888888,1,0.1272794536557898
Gene_34,0.05589051389022991,1e-15,1.9984014443252818e-15,0.012269783764389475,0.162499999,0.02010152602912474,80.0,0.8375,1,0.1272794536557898
Gene_35,0.00165869929146597,1e-15,1.9984014443252818e-15,0.014814541837353312,0.13636363536363638,0.01709224234681883,66.0,0.8636363636363636,1,0.1272794536557898
Gene_36,0.1296247529158237,1e-15,1.9984014443252818e-15,0.018691039471916415,0.2115384605384616,0.026295443995918655,52.0,0.7884615384615384,1,0.13338268693581928
Gene_37,0.06765161001302594,1e-15,1.9984014443252818e-15,0.017390862172057986,0.17857142757142863,0.022279481350667707,56.0,0.8214285714285714,1,0.1272794536557898
Gene_38,0.00013129040364914874,1e-15,1.9984014443252818e-15,0.021051845775030165,0.06521739030434781,0.008870441446620081,46.0,0.9347826086956522,1,0.1272794536557898
Gene_39,0.09178830049906303,8.413381401611e-08,1.6826747817333398e-07,0.03076676552365587,0.19354838609677427,0.02472857956741059,31.0,0.8064516129032258,1,0.1272794536557898
Gene_40,0.3021797230541522,1.0613593881599621e-07,2.1227182689376178e-07,0.023528313347756735,0.19512195021951217,0.02456371140910152,41.0,0.8048780487804879,1,0.1272794536557898
Gene_41,0.013792687572994226,1e-15,1.9984014443252818e-15,0.021051845775030165,0.1739130424782609,0.021900190242853723,46.0,0.8260869565217391,1,0.1272794536557898
Gene_42,0.0008179819149709105,1e-15,1.9984014443252818e-15,0.021051845775030165,0.1739130424782609,0.021900190242853723,46.0,0.8260869565217391,1,0.1272794536557898
Gene_43,0.0021545877119141022,1e-15,1.9984014443252818e-15,0.019801326693244747,0.10204081532653064,0.013222840912725964,49.0,0.8979591836734694,1,0.1272794536557898
Gene_44,0.00025198645242020557,1e-15,1.9984014443252818e-15,0.011299314123332849,0.10344827486206898,0.012971745322297723,87.0,0.896551724137931,1,0.1272794536557898
Gene_45,0.09863736221986825,1e-15,1.9984014443252818e-15,0.014814541837353312,0.15151515051515152,0.01890907738847003,66.0,0.8484848484848485,1,0.1272794536557898
Gene_46,0.005713999454762714,1e-15,1.9984014443252818e-15,0.013792883256083743,0.12676056238028177,0.01589042128660967,71.00000000000001,0.8732394366197183,1,0.1272794536557898
Gene_47,0.0016516364980141438,1e-15,1.9984014443252818e-15,0.013244838192804309,0.10810810710810814,0.013626623516299285,74.0,0.8918918918918919,1,0.1272794536557898
Gene_48,0.03851643752076268,1e-15,1.9984014443252818e-15,0.013985784402998025,0.1714285704285714,0.021256332293421276,70.0,0.8285714285714286,1,0.1272794536557898
Gene_49,0.04271894666718788,1e-15,1.9984014443252818e-15,0.014598278978346202,0.164179103477612,0.02041702597210282,67.0,0.835820895522388,1,0.1272794536557898
Gene_50,0.18257439687684301,1e-15,1.9984014443252818e-15,0.015266876750508418,0.21874999900000003,0.02699330594188387,64.0,0.78125,1,0.13496652970941936
Gene_51,0.10899345971599146,1e-15,1.9984014443252818e-15,0.012269783764389475,0.17499999900000007,0.021600605795342398,80.0,0.825,1,0.1272794536557898
Gene_52,0.006179603936178734,1e-15,1.9984014443252818e-15,0.02020132614629566,0.1458333323333334,0.018492390027060046,48.0,0.8541666666666666,1,0.1272794536557898
Gene_53,0.016439262520136607,1e-15,1.9984014443252818e-15,0.026665065180747294,0.11111111011111119,0.014648809762412118,36.0,0.8888888888888888,1,0.1272794536557898
Gene_54,0.07839320541341793,2.2622859109704604e-13,4.5236037138352003e-13,0.022470953747007916,0.1627906966744186,0.020636482915431076,43.0,0.8372093023255814,1,0.1272794536557898
Gene_55,0.015009854351370205,1e-15,1.9984014443252818e-15,0.011428446322702124,0.11627906876744187,0.01451693723365477,86.0,0.8837209302325582,1,0.1272794536557898
Gene_56,0.13240874476438966,2.016119392002403e-10,4.0322395422620616e-10,0.023528313347756735,0.17073170631707324,0.02164011864542692,41.0,0.8292682926829268,1,0.1272794536557898
