n_cells,n_genes,median,q25,q75
1000,500,3.2222998552024364,3.079417609144002,3.3106146147474647
4000,500,6.839655976742506,6.607926108874381,6.852010760456324
8000,500,17.473368426784873,16.19092319533229,18.90588578162715
16000,500,38.96577844209969,36.186734047718346,42.13197110127658
1000,1000,5.97533917427063,5.942107144743204,6.06398914847523
4000,1000,13.095807046629488,13.09515507845208,13.723944968078285
8000,1000,39.81311323493719,36.6349138780497,40.25923962518573
16000,1000,78.45898124296218,74.15263175778091,82.16160523612052
1000,2000,11.93885784689337,11.758916420862079,12.136184751521796
4000,2000,27.34642636217177,26.570064797066152,27.827879486139864
8000,2000,65.06973370537162,64.36032996047288,65.80623459815979
16000,2000,165.9591651717201,164.72008077939972,170.31852344516665
1000,4000,24.81510671880096,24.461742122191936,25.089859979692847
4000,4000,55.51944157294929,55.373038042802364,56.975534739438444
8000,4000,128.59261168912053,119.03291472932324,134.3268760307692
16000,4000,305.0100315734744,283.5449765091762,318.73204401507974
